What are Enumerations?,Enumeration also known as Enum in C is a user-defined data type. It consists of constant integrals or integers that have names assigned to them by the user. Because the integer values are named with enum in C the whole program is simple to learn understand and maintain by the same or even different programmer.
When should we use the register storage specifier?,If a variable is used frequently it should be declared with the register storage specifier and the compiler may allocate a CPU register for its storage to speed up variable lookup.
Specify different types of decision control statements?,All statements written in a program are executed from top to bottom one by one. Control statements are used to execute/transfer the control from one part of the program to another depending on the condition.
What is an r-value and l-value?,The term "r-value" refers to a data value stored in memory at a given address. An r-value is an expression that cannot have a value assigned to it hence it can only exist on the right side of an assignment operator(=).The term "l-value" refers to a memory location that is used to identify an object. The l-value can be found on either the left or right side of an assignment operator(=). l-value is frequently used as an identifier.
What is the difference between malloc() and calloc()?,calloc() and malloc() are memory dynamic memory allocating functions. The main difference is that malloc() only takes one argument which is the number of bytes but calloc() takes two arguments which are the number of blocks and the size of each block.
What is the difference between struct and union in C?,A struct is a group of complex data structures stored in a block of memory where each member on the block gets a separate memory location to make them accessible at once Whereas in the union all the member variables are stored at the same location on the memory as a result to which while assigning a value to a member variable will change the value of all other members.
What is call by reference in functions?,When we caller function makes a function call bypassing the addresses of actual parameters being passed then this is called call by reference. In incall by reference the operation performed on formal parameters affects the value of actual parameters because all the operations performed on the value stored in the address of actual parameters.
What is pass by reference in functions?,In Pass by reference the callee receives the address and makes a copy of the address of an argument into the formal parameter. Callee function uses the address to access the actual argument (to do some manipulation). If the callee function changes the value addressed at the passed address it will be visible to the caller function as well.
What is a memory leak?,When we assign a variable it takes space of our RAM (either heap or RAM)dependent on the size of data type however if a programmer uses a memory available on the heap and forgets to a delta it at some point all the memory available on the ram will be occupied with no memory left this can lead to a memory leak.
How to avoid memory leak?,To avoid memory leaks you can trace all your memory allocations and think forward where you want to destroy (in a good sense) that memory and place delete there. Another way is to use C++ smart pointer in C linking it to GNU compilers.
What is Dynamic memory allocation in C? Name the dynamic allocation functions?,C is a language known for its low-level control over the memory allocation of variables in DMA there are two major standard library malloc() and free. The malloc() function takes a single input parameter which tells the size of the memory requested It returns a pointer to the allocated memory. If the allocation fails it returns NULL.
What is typedef?,typedef is a C keyword used to define alias/synonyms for an existing type in C language. In most cases we use typedef's to simplify the existing type declaration syntax. Or to provide specific descriptive names to a type.
Why is it usually a bad idea to use gets()? Suggest a workaround.,The standard input library gets() reads user input till it encounters a new line character. However it does not check on the size of the variable being provided by the user is under the maximum size of the data type which makes the system vulnerable to buffer overflow and the input being written into memory where it isn’t supposed to.
What are dangling pointers? How are dangling pointers different from memory leaks?,The dangling pointer points to a memory that has already been freed. The storage is no longer allocated. Trying to access it might cause a Segmentation fault. 
What is a near pointer and a far pointer in C?,Near Pointer: In general the near pointer can be considered because it is used to hold the address which has a maximum size of just 16 bits. We can't store an address with a size larger than 16 bits using the near pointer. Far Pointer: A far pointer is considered a pointer of size 32 bits. It can however use the current segment to access information stored outside the computer's memory. Although in order to use this type of pointer we usually need to allocate the sector register to store the data address in the current segment.
Which structure is used to link the program and the operating system?,The file structure is used to link the operating system and a program. The header file "stdio.h" (standard input/output header file) defines the file. It contains information about the file being used like its current size and its memory location. It contains a character pointer that points to the character which is currently being opened. When you open a file it establishes a link between the program and the operating system about which file is to be accessed.
Suppose a global variable and local variable have the same name. Is it possible to access a global variable from a block where local variables are defined?,No. This isn’t possible in C. It’s always the most local variable that gets preference.
Which is better #define or enum?,If we let it the compiler can build enum values automatically. However each of the defined values must be given separately.Some compilers will give a warning if we use enum values in a switch and the default case is missing.Unlike enum the macro does not have a defined scope constraint.
Can we compile a program without a main() function?,Yes we can compile a program without main() function Using Macro.
What is the use of a semicolon (;) at the end of every program statement?,It is majorly related to how the compiler reads( or parses) the entire code and breaks it into a set of instructions(or statements) to which semicolon in C acts as a boundary between two sets of instructions.
