How Python is interpreted?,Python as a language is not interpreted or compiled. Python compiles the source code to a set of instructions for a virtual machine. The Python interpreter is an implementation of that virtual machine. This intermediate format is called “bytecode”.
What are iterators in Python?,An iterator is an object.It remembers its state i.e. where it is during iteration.Iterators are objects with which we can iterate over iterable objects like lists strings etc.
Explain how to delete a file in Python?,Use command os.remove(file_name)
Explain split() and join() functions in Python?,You can use split() function to split a string based on a delimiter to a list of strings.You can use join() function to join a list of strings based on a delimiter to give a single string.
What are negative indexes and why are they used?,Negative indexes are the indexes from the end of the list or tuple or string.
How does inheritance work in python? ,Inheritance gives the power to a class to access all attributes and methods of another class. It aids in code reusability and helps the developer to maintain applications without redundant code.
Is Python a compiled language or an interpreted language?,Python is a partially compiled language and partially interpreted language. The compilation part is done first when we execute our code and this will generate byte code internally this byte code gets converted by the Python virtual machine(p.v.m) according to the underlying platform(machine+operating system).
What is the difference between a Mutable datatype and an Immutable data type?,Mutable data types can be edited i.e. they can change at runtime. Eg – List Dictionary etc.Immutable data types can not be edited i.e. they can not change at runtime. Eg – String Tuple etc.
How are arguments passed by value or by reference in Python?,Everything in Python is an object and all variables hold references to the objects. The reference values are according to the functions; as a result you cannot change the value of the references. However you can change the objects if it is mutable.
What is the difference between a Set and Dictionary?,The set is an unordered collection of data types that is iterable mutable and has no duplicate elements.A dictionary in Python is an ordered collection of data values used to store data values like a map.
What is List Comprehension in python?,List comprehension is a syntax construction to ease the creation of a list based on existing iterable.
What is swapcase function in Python?,It is a string’s function that converts all uppercase characters into lowercase and vice versa. It is used to alter the existing case of the string. This method creates a copy of the string which contains all the characters in the swap case.
Can we Pass a function as an argument in Python?,Yes Several arguments can be passed to a function including objects variables (of the same or distinct data types) and functions.
What are *args and *kwargs?,To pass a variable number of arguments to a function in Python use the special syntax *args and **kwargs in the function specification. It is used to pass a variable-length keyword-free argument list. By using the * the variable we associate with the * becomes iterable allowing you to do operations on it such as iterating over it and using higher-order operations like map and filter.
Is Indentation Required in Python?,Yes indentation is required in Python.
What is Scope in Python?,The location where we can find a variable and also access it if required is called the scope of a variable.
What is docstring in Python?,Python documentation strings (or docstrings) provide a convenient way of associating documentation with Python modules functions classes and methods.
What is a dynamically typed language?,Typed languages are the languages in which we define the type of data type and it will be known by the machine at the compile-time or at runtime.
How do you floor a number in Python?,The Python math module includes a method that can be used to calculate the floor of a number. 
Does Python supports multiple Inheritance?,Python does support multiple inheritances unlike Java. Multiple inheritances mean that a class can be derived from more than one parent class.
What is Polymorphism in Python?,Polymorphism means the ability to take multiple forms. So for instance if the parent class has a method named ABC then the child class also can have a method with the same name ABC having its own parameters and variables. Python allows polymorphism.
Define encapsulation in Python?,Encapsulation means binding the code and the data together. A Python class is an example of encapsulation.
How do you do data abstraction in Python?,Data Abstraction is providing only the required details and hides the implementation from the world. It can be achieved in Python by using interfaces and abstract classes.
What is slicing in Python?,Python Slicing is a string operation for extracting a part of the string or some part of a list. With this operator one can specify where to start the slicing where to end and specify the step. List slicing returns a new list from the existing list.
What is a namespace in Python?,A namespace is a naming system used to make sure that names are unique to avoid naming conflicts.
What is PIP?,PIP is an acronym for Python Installer Package which provides a seamless interface to install various Python modules. It is a command-line tool that can search for packages over the internet and install them without any user interaction.
What is a zip function?,Python zip() function returns a zip object which maps a similar index of multiple containers. It takes an iterable converts it into an iterator and aggregates the elements based on iterables passed. It returns an iterator of tuples.
What is monkey patching in Python?,the term monkey patch only refers to dynamic modifications of a class or module at run-time.
What are Access Specifiers in Python?,Python uses the ‘_’ symbol to determine the access control for a specific data member or a member function of a class.
What are Function Annotations in Python?,Function Annotation is a feature that allows you to add metadata to function parameters and return values. This way you can specify the input type of the function parameters and the return type of the value the function returns.
What are Exception Groups in Python?,The ExceptionGroup can be handled using a new except* syntax. The * symbol indicates that multiple exceptions can be handled by each except* clause.
What is Walrus Operator?,The Walrus Operator allows you to assign a value to a variable within an expression. This can be useful when you need to use a value multiple times in a loop but don’t want to repeat the calculation.
Python Global Interpreter Lock (GIL)?,Python Global Interpreter Lock (GIL) is a type of process lock that is used by Python whenever it deals with processes. 
